zip,week_of_year,year,Number of patients
0,1,2019,1
0,3,2016,1
0,4,2020,1
0,5,2017,1
0,8,2016,1
0,11,2017,1
0,12,2017,1
0,17,2019,1
0,20,2016,1
0,21,2017,1
0,26,2019,1
0,32,2019,2
0,36,2016,1
0,37,2019,1
0,38,2019,1
0,43,2017,1
0,43,2019,1
0,46,2015,1
0,51,2018,1
0,52,2015,1
0,52,2018,1
0,52,2019,2
926,9,2018,1
926,10,2020,1
926,45,2019,1
1460,7,2016,1
1469,38,2018,1
1719,2,2020,1
1719,43,2016,1
1719,48,2020,1
1719,49,2017,1
1719,51,2017,1
1845,30,2017,1
1852,16,2019,1
2151,12,2020,1
2445,7,2016,1
2446,2,2017,1
2464,2,2018,1
2464,29,2017,1
2478,13,2016,1
2807,25,2019,1
2818,13,2017,1
2885,8,2020,1
4103,6,2020,1
5403,7,2020,1
5481,41,2019,1
6071,25,2019,1
6071,41,2016,1
6119,2,2020,1
6119,36,2019,1
6231,1,2018,1
6231,44,2017,1
6820,1,2020,1
7009,36,2019,1
7024,14,2016,1
7024,20,2017,1
7030,3,2017,1
7032,49,2018,1
7060,17,2018,1
7087,28,2017,1
7304,50,2018,1
7621,4,2020,1
7722,7,2018,1
7733,25,2018,1
7830,12,2018,1
7830,21,2016,1
7869,46,2015,1
7901,33,2019,1
7928,23,2019,1
7960,6,2018,1
8204,7,2020,1
8204,19,2019,1
8690,7,2016,1
8721,47,2017,1
8807,17,2018,1
8869,25,2020,1
8869,36,2019,1
8869,46,2015,1
10012,5,2020,1
10012,51,2019,1
10014,11,2016,1
10016,53,2016,1
10019,9,2018,1
10023,29,2017,1
10282,48,2017,1
10301,5,2017,1
10502,30,2017,1
10504,6,2020,1
10583,49,2020,1
10591,7,2016,1
10913,32,2018,1
10913,42,2017,1
11001,9,2018,1
11021,19,2017,1
11021,24,2019,1
11102,19,2018,1
11105,6,2016,1
11205,49,2016,1
11216,8,2016,1
11223,13,2018,1
11235,23,2017,1
11238,2,2018,1
11238,52,2019,1
11370,17,2016,1
11375,3,2019,1
11375,21,2016,1
11375,21,2018,1
11377,15,2017,1
11563,52,2016,1
11572,7,2020,1
11577,42,2018,1
11581,29,2016,1
11717,2,2017,1
12078,9,2020,1
12533,23,2018,1
13029,39,2017,1
13069,19,2017,1
14450,39,2019,1
14586,51,2018,1
14616,24,2016,1
15133,9,2018,1
15601,48,2018,1
15767,12,2020,1
15834,15,2018,1
15834,42,2019,1
15904,33,2016,1
17011,52,2017,1
17104,35,2016,1
17109,5,2017,1
17403,5,2017,1
18229,52,2017,1
19060,11,2018,1
19083,4,2020,1
19146,51,2015,1
19425,8,2017,1
19428,4,2019,1
19428,39,2019,1
20002,18,2017,1
20002,44,2015,1
20002,52,2015,1
20011,39,2017,1
20036,41,2017,1
20120,9,2020,1
20120,18,2018,1
20132,51,2019,1
20141,25,2018,1
20164,51,2019,1
20166,38,2017,1
20169,7,2020,1
20169,12,2019,1
20169,24,2018,1
20169,46,2017,1
20169,49,2019,2
20201,13,2018,1
20520,1,2019,1
20603,13,2019,1
20634,42,2018,1
20646,46,2016,1
20707,51,2015,1
20735,47,2017,1
20755,1,2020,1
20854,43,2018,1
20878,1,2016,1
20878,50,2019,1
20905,50,2015,1
20910,49,2020,1
21001,20,2017,1
21014,44,2019,1
21228,16,2017,1
21502,8,2016,1
21601,51,2015,1
22000,6,2017,1
22014,7,2018,1
22015,30,2017,1
22033,32,2019,1
22043,3,2017,1
22043,5,2018,1
22043,39,2019,1
22102,4,2016,1
22102,33,2019,1
22182,7,2018,1
22182,40,2019,1
22182,52,2017,1
22201,51,2019,1
22205,27,2016,1
22207,13,2017,1
22207,22,2018,1
22207,49,2016,1
22253,7,2020,1
22308,19,2019,1
22309,53,2016,1
22310,2,2020,1
22405,3,2017,1
22448,48,2018,1
22556,11,2017,1
23059,9,2016,1
23111,29,2016,1
23116,7,2020,1
23227,24,2016,1
23323,30,2017,1
23451,16,2017,2
23454,3,2020,1
23454,15,2017,1
23455,4,2020,1
23456,24,2018,1
23464,7,2020,1
23464,47,2017,1
23502,18,2018,1
23502,49,2019,1
23503,8,2020,1
23503,9,2017,1
23503,34,2017,1
23508,5,2020,1
23510,8,2017,1
23702,2,2016,1
23702,4,2018,1
23702,4,2019,1
23702,7,2017,1
23702,7,2019,1
23702,17,2018,1
27107,11,2018,1
27265,9,2016,1
27519,9,2016,1
27523,10,2019,1
27523,19,2019,2
28115,2,2017,1
28323,13,2016,1
28358,14,2020,1
28358,43,2016,1
28358,44,2016,1
29073,8,2020,1
29073,27,2016,1
29406,3,2016,1
29406,15,2019,1
29406,21,2019,1
29445,11,2020,1
29464,4,2019,1
29464,22,2019,1
29492,49,2018,1
29577,7,2019,1
29577,49,2018,1
29715,41,2017,1
29906,22,2019,1
29906,34,2017,1
29906,50,2016,1
29928,8,2020,1
29928,11,2019,1
29928,41,2019,1
29928,48,2015,1
30022,20,2016,1
30045,3,2016,1
30045,17,2019,1
30106,39,2016,1
30132,45,2015,1
30132,51,2019,1
30134,8,2019,1
30134,42,2018,1
30178,1,2020,1
30213,30,2016,1
30253,44,2016,1
30253,45,2016,1
30260,44,2017,1
30260,51,2018,1
30263,15,2019,1
30263,52,2019,1
30329,22,2018,1
30355,50,2016,1
30504,50,2016,1
30517,1,2017,1
30517,8,2018,1
30576,50,2015,1
30601,19,2019,1
31548,6,2016,1
31548,10,2020,1
31645,12,2020,1
32168,4,2020,1
32225,20,2017,1
32506,14,2017,1
32541,11,2018,2
32571,14,2020,1
32571,50,2015,1
32571,52,2019,1
32765,4,2020,1
32818,16,2017,1
32818,51,2015,1
32828,7,2019,1
32828,48,2015,1
32940,52,2017,1
33009,27,2017,1
33032,18,2016,1
33055,6,2020,1
33065,36,2017,1
33065,51,2018,1
33141,33,2016,1
33319,44,2020,1
33430,19,2017,1
33460,6,2016,1
33559,37,2016,1
33594,50,2017,1
33908,8,2016,1
34202,46,2017,1
34212,39,2018,1
34286,4,2016,1
34286,5,2020,1
34286,15,2017,1
34286,51,2019,1
34653,28,2017,1
34711,4,2017,1
34743,47,2018,1
34952,6,2020,1
35111,8,2020,1
35208,8,2017,1
35501,46,2016,1
35503,8,2019,1
35749,10,2017,1
35756,44,2016,1
35806,5,2020,1
36526,41,2017,1
37069,16,2019,1
37086,2,2018,1
37086,7,2016,1
37086,7,2018,1
37086,9,2016,1
37086,43,2018,1
37086,51,2017,1
37086,52,2016,1
37211,9,2016,1
37211,35,2018,1
37211,42,2017,1
37217,18,2017,1
37415,50,2019,1
37754,5,2017,1
37920,51,2019,1
38654,2,2020,1
38654,38,2016,1
38654,40,2017,1
38654,46,2015,1
38801,18,2019,1
38801,48,2017,1
39531,8,2017,1
39759,51,2016,1
40214,19,2017,1
40241,8,2016,1
40502,24,2019,1
40504,6,2016,1
40504,7,2016,1
40504,23,2017,1
40504,45,2018,1
40504,48,2020,1
40515,1,2020,1
43017,14,2016,1
43017,48,2017,1
43035,50,2019,1
43055,2,2020,1
43147,13,2018,1
43311,13,2018,1
43567,49,2016,1
43612,8,2017,1
43907,6,2020,1
44060,43,2019,1
44060,52,2018,1
44122,5,2017,1
44122,33,2019,1
44224,7,2018,1
44224,11,2020,1
44241,25,2019,1
44691,11,2018,1
45039,18,2016,1
45215,49,2020,1
45241,36,2016,1
45305,4,2019,1
46033,45,2019,1
46142,17,2018,1
46202,3,2018,1
46202,20,2017,1
46375,2,2018,1
47203,35,2016,1
47203,37,2016,1
47837,47,2015,1
48030,8,2019,1
48030,47,2015,1
48034,5,2020,1
48071,52,2016,1
48103,53,2016,1
48124,7,2016,1
48178,13,2018,1
48307,19,2017,1
48310,7,2016,1
48312,9,2020,1
48312,12,2017,1
48312,45,2016,1
48313,9,2020,2
48313,22,2016,1
48313,23,2016,1
48317,9,2019,1
48328,8,2016,1
48519,19,2016,1
48603,27,2020,1
48603,49,2015,1
48840,34,2016,1
48911,40,2017,1
49009,4,2020,1
49009,5,2017,1
49009,41,2017,1
49015,6,2016,1
49252,1,2018,1
49418,2,2016,1
49418,5,2019,1
49418,45,2017,1
49546,3,2017,1
49546,10,2016,1
49546,42,2019,1
49546,52,2019,1
49931,12,2017,1
49945,5,2016,1
49945,12,2020,1
50109,29,2016,1
51031,44,2016,1
52402,6,2016,1
52411,50,2019,1
52722,9,2020,1
53083,22,2016,1
53085,44,2019,1
53085,52,2019,1
53220,12,2018,1
53226,16,2018,1
53228,19,2017,1
53705,5,2018,1
54016,47,2020,1
54016,51,2017,1
54016,52,2019,1
54646,2,2018,1
54646,7,2018,1
54646,38,2017,1
55014,1,2016,1
55014,8,2018,1
55014,38,2020,1
55014,46,2018,1
55014,49,2017,1
55016,16,2019,1
55104,18,2016,1
55105,5,2019,1
55110,51,2019,1
55118,42,2015,1
55119,8,2018,1
55122,17,2017,1
55127,2,2017,1
55127,8,2020,1
55127,36,2019,1
55129,8,2016,1
55306,4,2019,1
55306,15,2017,1
55306,51,2015,1
55337,18,2016,1
55372,13,2019,1
55372,16,2016,1
55372,21,2016,1
55378,33,2016,1
55407,2,2019,1
55407,37,2018,1
55410,48,2019,1
55426,37,2017,1
55426,48,2015,1
55426,53,2016,1
55434,4,2019,1
55434,13,2017,1
55447,5,2016,1
55448,19,2019,1
55904,2,2017,1
55954,23,2018,1
56143,11,2017,1
57783,8,2017,1
58104,5,2020,1
59102,30,2019,1
59102,36,2016,1
59105,8,2019,1
59404,50,2019,1
59937,12,2018,1
60004,42,2017,1
60045,37,2016,1
60067,8,2018,1
60104,45,2019,1
60107,46,2017,1
60115,39,2018,1
60120,1,2017,1
60139,20,2019,1
60187,6,2016,1
60193,3,2016,1
60193,12,2019,1
60201,35,2017,1
60451,9,2018,1
60451,42,2018,1
60451,43,2017,1
60451,48,2017,1
60453,17,2019,1
60453,46,2018,1
60462,15,2016,1
60462,43,2018,1
60477,4,2016,1
60477,51,2019,1
60490,47,2017,1
60502,36,2019,1
60502,41,2019,1
60504,11,2018,1
60504,42,2017,1
60514,29,2016,1
60563,6,2018,1
60563,43,2015,1
60607,15,2019,1
60610,12,2016,1
60613,49,2016,1
60614,2,2016,1
60614,8,2019,1
60614,51,2017,1
60615,44,2015,1
60617,34,2018,1
60622,30,2019,1
60622,43,2016,1
60625,6,2016,1
60625,8,2019,1
60625,38,2018,1
60639,1,2017,1
60639,52,2016,1
60646,27,2019,1
60657,11,2020,1
61010,52,2016,1
61801,4,2020,1
61801,46,2016,1
62024,44,2016,1
62024,44,2018,1
62234,35,2016,1
63011,28,2018,1
63116,5,2019,1
63116,6,2018,1
63116,34,2017,1
63116,45,2017,1
63116,48,2016,1
63119,15,2020,1
63119,47,2016,1
63123,15,2017,1
63129,26,2019,1
63138,48,2019,1
63367,8,2017,1
64093,42,2015,1
64119,5,2018,1
64133,5,2016,1
65251,2,2018,1
65583,38,2020,1
65583,39,2017,1
66040,6,2020,1
66048,3,2020,1
66062,15,2018,1
66208,18,2020,1
66213,6,2018,1
66216,11,2020,1
66442,50,2019,1
66503,12,2018,1
66801,12,2018,1
66801,52,2016,1
68106,26,2019,1
68122,5,2020,1
68124,4,2016,1
68124,43,2019,1
68132,3,2018,1
68352,2,2020,1
69361,52,2019,1
70037,28,2016,1
70127,47,2017,1
70363,12,2016,1
70592,51,2017,1
70769,6,2018,1
72015,3,2020,1
72076,6,2016,1
73025,12,2018,1
73128,44,2017,1
73128,49,2018,1
74127,10,2017,1
75002,18,2016,1
75007,14,2017,1
75007,36,2018,1
75025,33,2020,1
75033,23,2019,1
75035,8,2020,1
75035,38,2019,1
75035,41,2020,1
75035,43,2019,1
75051,27,2017,1
75052,26,2017,1
75063,8,2020,1
75070,43,2017,1
75070,43,2018,1
75070,47,2018,1
75072,28,2020,1
75072,50,2015,1
75078,1,2018,1
75078,3,2017,1
75078,32,2016,1
75078,42,2018,1
75078,44,2018,1
75078,48,2015,1
75078,53,2015,1
75080,3,2019,1
75098,4,2017,1
75104,21,2018,1
75126,2,2018,1
75126,48,2019,1
75126,52,2019,1
75149,11,2016,1
75150,48,2016,1
75154,5,2017,2
75159,41,2017,1
75189,37,2019,1
75209,36,2017,1
75225,11,2016,1
75227,11,2018,1
75229,17,2016,1
75229,41,2015,1
75243,11,2019,1
75243,16,2019,1
75243,47,2019,1
75243,52,2019,1
75243,53,2016,1
75474,37,2017,1
76013,8,2019,1
76014,24,2016,1
76017,15,2017,1
76040,53,2016,1
76051,11,2018,1
76078,46,2019,1
76078,52,2017,1
76092,42,2016,1
76114,43,2016,1
76120,19,2017,2
76123,46,2017,1
76126,40,2017,1
76135,23,2019,1
76225,13,2020,1
76574,4,2016,1
76574,50,2017,1
76903,13,2016,1
76903,19,2016,1
76905,9,2016,1
77005,12,2018,1
77007,15,2017,1
77008,8,2017,1
77018,51,2017,1
77019,16,2017,1
77020,51,2017,1
77024,11,2016,1
77026,31,2016,1
77055,14,2018,1
77092,10,2020,1
77096,4,2018,1
77303,4,2016,1
77346,12,2020,1
77357,12,2020,1
77357,51,2017,1
77379,9,2018,1
77380,22,2016,1
77385,4,2019,1
77385,15,2017,1
77429,2,2019,1
77449,1,2019,1
77461,10,2017,1
77477,11,2017,1
77479,18,2016,1
77489,5,2019,1
77492,3,2019,1
77494,24,2017,1
77494,27,2020,1
77494,49,2015,1
77535,10,2018,1
77584,2,2019,1
77584,3,2016,1
77584,12,2019,1
77584,15,2019,1
77584,30,2017,1
77598,6,2016,1
77598,10,2017,1
77598,11,2017,1
77836,1,2016,1
77836,5,2020,1
77836,21,2019,1
77836,47,2018,1
78006,51,2019,1
78016,18,2017,1
78073,48,2015,1
78121,52,2016,1
78132,3,2016,1
78132,11,2017,1
78132,29,2019,1
78209,1,2019,1
78209,2,2016,1
78209,2,2018,1
78209,23,2019,1
78216,50,2015,1
78217,14,2019,1
78220,16,2016,1
78230,16,2017,1
78230,29,2016,1
78240,38,2019,1
78240,49,2017,1
78254,32,2017,1
78259,1,2017,1
78259,10,2016,1
78411,15,2020,1
78572,8,2019,1
78572,49,2015,1
78610,34,2017,1
78610,44,2019,1
78613,5,2018,1
78613,42,2015,1
78613,51,2019,1
78628,2,2017,1
78628,7,2020,1
78628,48,2015,1
78628,52,2019,1
78641,40,2017,1
78644,12,2018,1
78644,24,2019,1
78645,45,2016,1
78660,3,2020,1
78660,51,2016,1
78704,42,2019,1
78745,31,2017,1
78750,20,2016,1
78750,30,2017,1
78757,5,2016,1
78757,6,2018,1
78757,31,2017,1
78852,23,2017,1
79072,27,2020,1
79072,49,2015,1
79109,27,2017,1
79701,9,2017,1
79763,16,2017,1
79763,19,2016,1
79904,35,2018,1
79911,10,2020,1
79912,19,2017,1
79912,33,2019,1
79912,43,2015,1
79912,51,2016,1
79915,1,2017,1
79915,30,2018,1
79928,2,2020,1
79934,2,2018,1
79938,8,2017,1
80003,22,2019,1
80011,18,2016,2
80011,18,2017,1
80011,19,2016,1
80013,6,2017,1
80015,52,2016,2
80016,11,2019,1
80017,2,2018,1
80017,26,2017,1
80018,50,2017,1
80021,7,2018,1
80021,43,2020,1
80022,52,2019,1
80026,45,2016,1
80027,6,2018,1
80033,8,2017,1
80112,13,2016,1
80123,15,2017,1
80126,9,2016,1
80126,51,2017,1
80126,52,2016,1
80129,1,2016,1
80129,50,2019,1
80134,15,2017,1
80138,7,2016,1
80207,5,2016,1
80209,6,2016,1
80211,2,2016,1
80211,2,2019,1
80211,45,2017,1
80212,19,2017,1
80221,7,2020,1
80222,23,2018,1
80224,42,2016,1
80226,40,2015,1
80227,24,2019,1
80227,48,2017,1
80229,22,2016,1
80236,12,2020,1
80239,18,2019,1
80249,47,2019,1
80439,6,2017,1
80439,39,2019,1
80439,42,2018,1
80501,4,2020,1
80501,8,2019,1
80504,11,2020,1
80504,17,2017,1
80723,51,2019,1
80831,35,2018,1
80902,38,2017,1
80902,49,2016,1
80906,42,2017,1
80907,35,2017,1
80910,2,2020,1
80910,18,2017,1
80916,29,2019,1
80921,23,2017,1
81004,41,2017,1
81230,16,2016,1
81506,46,2018,1
81601,49,2019,1
81623,7,2018,1
81623,11,2018,1
81623,16,2019,1
82072,45,2016,1
83001,16,2018,1
83014,4,2016,1
83014,51,2019,1
83201,51,2018,1
83316,25,2018,1
83340,16,2018,1
83355,19,2017,1
83404,22,2019,1
83646,14,2016,1
83646,16,2018,1
83651,46,2016,1
83702,16,2018,1
83702,29,2020,1
83702,45,2016,1
83704,3,2019,1
83704,7,2017,1
83709,50,2017,1
83716,41,2019,1
84004,11,2016,1
84020,42,2019,1
84025,13,2018,1
84025,13,2019,1
84042,7,2019,1
84042,52,2015,1
84047,2,2018,1
84047,7,2017,1
84047,20,2019,1
84059,4,2017,1
84059,5,2020,1
84059,11,2020,1
84059,18,2017,1
84059,19,2017,1
84070,1,2019,1
84070,32,2016,1
84070,47,2015,1
84074,51,2019,1
84075,6,2017,1
84075,39,2019,1
84095,12,2019,1
84095,48,2015,1
84098,4,2018,1
84098,10,2019,1
84108,15,2017,1
84109,26,2017,1
84117,46,2017,1
84119,39,2017,1
84123,16,2016,1
84129,40,2017,1
84404,2,2018,1
84404,5,2017,1
84405,30,2017,1
84414,7,2019,1
84414,9,2019,1
84414,41,2019,1
84601,10,2016,1
84606,8,2016,1
84660,6,2020,1
84660,18,2019,1
84660,42,2019,1
84660,43,2017,1
84663,21,2016,1
84745,50,2018,1
85008,28,2016,1
85008,45,2019,1
85009,50,2015,1
85013,4,2016,1
85013,41,2015,1
85013,47,2019,1
85015,9,2016,1
85015,22,2019,1
85015,30,2020,1
85015,33,2019,1
85015,43,2016,1
85015,52,2015,1
85016,6,2018,1
85016,24,2018,1
85017,4,2016,1
85017,5,2020,1
85017,43,2020,1
85018,29,2016,1
85018,50,2019,1
85020,2,2017,1
85020,5,2016,1
85020,36,2017,2
85020,37,2016,1
85020,42,2016,1
85020,43,2016,1
85022,3,2017,1
85022,51,2017,1
85027,1,2017,1
85029,1,2019,1
85029,2,2016,1
85029,5,2017,1
85029,8,2019,1
85029,39,2019,1
85031,44,2015,1
85033,23,2018,1
85033,27,2019,1
85033,40,2016,1
85033,48,2015,2
85035,6,2018,1
85035,8,2018,1
85037,5,2017,1
85042,3,2020,2
85042,52,2017,1
85044,9,2018,1
85044,50,2019,1
85050,7,2020,1
85050,50,2019,1
85053,1,2016,1
85053,51,2019,1
85054,35,2016,1
85083,10,2019,1
85085,49,2019,1
85086,5,2017,1
85123,50,2018,2
85128,11,2019,1
85138,49,2018,1
85139,38,2017,1
85142,7,2017,1
85142,50,2017,1
85201,37,2019,1
85203,20,2018,1
85204,1,2018,3
85204,2,2018,2
85204,4,2020,1
85204,5,2016,1
85204,7,2020,1
85204,9,2018,1
85204,9,2019,1
85204,12,2019,1
85204,29,2017,1
85204,37,2019,1
85204,42,2016,1
85204,45,2020,1
85204,46,2016,1
85204,50,2018,1
85204,52,2019,1
85207,4,2020,1
85207,44,2017,1
85207,51,2018,1
85208,11,2016,1
85209,6,2018,1
85209,15,2017,1
85209,33,2020,1
85209,44,2017,1
85209,51,2018,1
85209,52,2015,1
85210,53,2016,1
85212,13,2019,1
85212,45,2015,1
85224,6,2016,1
85224,20,2016,1
85225,11,2016,1
85225,11,2020,1
85225,23,2020,1
85225,42,2018,1
85225,43,2018,1
85225,45,2015,1
85225,48,2019,1
85225,50,2019,1
85226,1,2016,1
85226,30,2020,1
85226,43,2016,1
85233,43,2019,1
85233,50,2017,1
85248,34,2017,1
85249,6,2018,1
85249,14,2018,1
85249,47,2015,1
85253,4,2020,1
85254,6,2016,1
85254,10,2018,1
85258,2,2016,1
85258,4,2019,1
85258,7,2017,1
85258,40,2017,1
85259,47,2017,1
85260,23,2019,1
85282,8,2019,1
85283,6,2018,1
85283,7,2020,1
85283,27,2020,1
85283,49,2015,1
85286,17,2016,1
85286,42,2020,1
85286,44,2019,1
85286,49,2017,1
85295,18,2016,1
85296,31,2017,1
85296,51,2019,1
85297,16,2017,1
85297,43,2017,1
85297,46,2020,1
85297,47,2018,1
85301,52,2018,1
85302,6,2018,1
85302,8,2018,1
85302,22,2016,1
85303,12,2017,1
85305,9,2019,1
85307,13,2017,1
85308,1,2019,1
85308,15,2018,1
85308,23,2018,1
85308,27,2018,1
85308,41,2018,1
85308,48,2015,1
85308,49,2019,1
85310,5,2018,1
85310,13,2016,1
85326,6,2016,1
85331,11,2017,1
85331,49,2016,1
85335,14,2018,1
85339,7,2018,1
85339,21,2019,1
85339,46,2015,1
85340,47,2018,1
85345,42,2016,1
85353,52,2018,1
85364,2,2018,1
85364,3,2020,1
85364,4,2018,1
85364,5,2018,1
85364,6,2020,1
85364,7,2020,1
85364,10,2020,1
85364,16,2018,1
85364,20,2017,2
85364,39,2018,1
85364,48,2017,1
85364,53,2015,2
85365,5,2018,1
85365,12,2017,1
85365,12,2020,1
85365,32,2017,1
85365,36,2019,1
85365,37,2017,1
85365,41,2019,1
85365,49,2018,2
85367,12,2018,1
85367,21,2018,1
85374,8,2016,1
85381,20,2017,1
85382,18,2017,1
85382,20,2017,1
85383,44,2018,1
85383,48,2015,1
85388,20,2018,1
85392,12,2018,1
85392,49,2016,1
85395,36,2020,1
85396,6,2020,1
85541,2,2020,1
85543,51,2019,1
85621,52,2016,1
85635,41,2018,1
85648,12,2016,2
85648,13,2019,1
85650,30,2019,1
85653,21,2016,1
85653,50,2016,1
85658,10,2018,1
85658,43,2017,1
85658,46,2018,1
85705,2,2018,1
85706,9,2019,1
85710,10,2019,1
85711,1,2020,1
85715,29,2019,1
85716,4,2016,1
85716,12,2016,1
85716,13,2018,1
85716,50,2019,1
85719,42,2017,1
85730,48,2016,1
85735,36,2016,1
85737,47,2018,1
85742,30,2020,1
85742,50,2016,1
85745,49,2015,1
85748,47,2019,1
85749,9,2019,1
85755,12,2019,1
85755,20,2020,1
85755,35,2019,1
85757,9,2018,1
85929,37,2016,1
85938,3,2018,1
86042,49,2019,1
86047,42,2017,1
86314,28,2020,1
86314,49,2015,1
86314,51,2019,1
86322,39,2020,1
86322,42,2018,1
86327,49,2019,1
86401,46,2015,1
86403,3,2017,1
86404,40,2016,1
86404,43,2016,1
86404,44,2018,1
86409,7,2017,1
86409,8,2016,1
86409,35,2020,1
86409,36,2019,1
87105,40,2019,1
87111,48,2016,1
87112,6,2018,1
87112,7,2020,1
87112,15,2017,1
87120,11,2019,1
87122,50,2018,1
87122,51,2017,1
87410,5,2016,1
87420,6,2018,1
87420,7,2020,1
87556,42,2018,1
87556,50,2016,1
87556,51,2019,1
87937,48,2019,1
88030,25,2020,1
88031,52,2016,1
88061,1,2019,1
88061,6,2017,1
88061,7,2017,1
88061,10,2020,1
88061,12,2018,1
88061,19,2017,1
88061,21,2017,1
88061,22,2016,1
88063,7,2020,1
88240,7,2018,1
88240,8,2018,1
88310,8,2017,1
89002,3,2018,1
89005,16,2016,1
89011,1,2020,1
89011,49,2017,1
89012,9,2020,1
89012,29,2017,1
89012,33,2020,1
89015,7,2019,1
89015,14,2017,1
89015,43,2019,1
89024,20,2016,1
89027,10,2020,1
89030,25,2017,1
89031,1,2019,1
89031,14,2017,1
89031,36,2019,1
89052,24,2019,1
89052,47,2015,1
89052,50,2016,1
89074,4,2020,1
89074,7,2017,1
89074,9,2020,1
89074,10,2017,1
89074,13,2016,1
89081,50,2016,1
89081,52,2019,1
89084,1,2017,1
89101,25,2020,1
89101,46,2015,1
89101,51,2019,1
89103,3,2020,1
89103,6,2016,1
89103,9,2016,1
89107,3,2017,1
89108,49,2018,1
89109,50,2017,1
89110,3,2019,1
89110,28,2017,1
89110,42,2015,1
89110,51,2017,1
89115,43,2019,1
89117,3,2018,1
89117,9,2018,1
89117,39,2017,1
89119,3,2018,1
89119,5,2018,1
89119,9,2020,1
89119,34,2017,1
89119,34,2019,1
89119,41,2015,1
89119,45,2018,1
89119,48,2017,1
89122,2,2020,1
89122,4,2020,1
89122,10,2016,1
89122,35,2017,1
89122,47,2018,1
89122,51,2016,1
89123,3,2017,1
89128,8,2020,1
89129,22,2018,1
89129,30,2019,1
89130,49,2019,1
89131,52,2019,1
89134,12,2020,1
89135,50,2018,1
89138,52,2016,1
89139,39,2017,1
89141,35,2017,1
89148,5,2020,1
89148,6,2020,1
89148,50,2015,1
89156,51,2015,1
89178,4,2020,1
89178,9,2016,1
89178,11,2020,1
89178,16,2018,1
89408,7,2019,1
89408,36,2019,1
89408,38,2019,1
89434,34,2017,1
89434,43,2019,1
89434,44,2016,1
89460,5,2017,1
89509,52,2015,1
89511,10,2017,1
89512,9,2018,1
89512,36,2018,1
89521,5,2016,1
89521,12,2018,1
89521,16,2016,1
89801,41,2015,2
89822,1,2018,1
90001,8,2018,1
90002,11,2018,2
90002,42,2017,1
90002,47,2017,1
90004,1,2018,1
90004,11,2019,1
90007,4,2017,1
90007,12,2020,1
90007,14,2018,1
90008,4,2016,1
90008,14,2018,1
90008,37,2019,1
90012,11,2020,1
90016,1,2019,1
90019,39,2017,1
90019,49,2017,1
90020,6,2017,1
90020,14,2019,1
90022,1,2018,1
90022,6,2018,1
90022,6,2019,1
90022,7,2017,1
90022,8,2018,1
90022,10,2019,1
90022,45,2017,2
90022,52,2017,1
90024,6,2018,1
90024,36,2016,1
90024,37,2016,1
90026,7,2019,1
90026,10,2019,1
90026,13,2018,1
90026,17,2020,1
90028,21,2018,1
90033,4,2018,1
90035,5,2019,1
90037,3,2020,1
90037,4,2020,1
90037,6,2019,1
90037,8,2017,1
90037,24,2017,1
90037,40,2018,1
90042,22,2017,1
90042,24,2016,1
90043,6,2016,1
90044,6,2020,1
90044,47,2018,1
90044,48,2017,1
90046,40,2015,1
90046,47,2015,1
90047,3,2016,1
90047,6,2018,1
90047,7,2019,1
90047,9,2019,1
90047,13,2019,1
90047,14,2017,1
90047,15,2016,1
90047,25,2019,1
90047,26,2019,2
90047,39,2019,1
90047,39,2020,1
90047,41,2019,1
90047,46,2015,1
90047,49,2017,1
90047,53,2015,1
90048,8,2017,1
90049,30,2017,1
90059,18,2018,1
90061,40,2018,1
90063,44,2015,1
90064,10,2018,1
90064,49,2016,1
90065,4,2020,1
90065,34,2016,1
90066,3,2016,1
90066,8,2019,1
90068,9,2018,1
90068,44,2020,1
90094,7,2016,2
90123,11,2020,1
90123,51,2017,1
90201,1,2019,1
90201,48,2015,1
90210,5,2018,1
90212,8,2018,1
90220,9,2016,1
90220,47,2017,1
90240,16,2018,1
90241,41,2017,1
90245,47,2018,1
90249,43,2015,1
90249,46,2016,1
90250,3,2018,1
90250,10,2019,1
90250,12,2016,1
90250,30,2017,1
90254,19,2019,1
90254,47,2016,1
90255,13,2017,1
90255,18,2016,1
90260,44,2016,1
90260,45,2016,1
90262,9,2020,1
90262,10,2017,1
90262,11,2017,1
90262,16,2019,1
90262,23,2018,1
90262,48,2015,1
90272,43,2018,1
90275,30,2017,1
90278,3,2017,1
90278,5,2017,1
90278,16,2016,1
90278,49,2015,1
90278,52,2015,1
90280,1,2017,1
90280,2,2019,1
90280,51,2016,1
90304,42,2018,1
90304,43,2017,1
90402,47,2020,1
90403,6,2017,1
90404,9,2016,1
90404,22,2017,1
90404,39,2018,1
90503,3,2016,1
90503,12,2016,1
90503,16,2019,1
90503,23,2019,1
90504,10,2017,1
90603,8,2020,1
90604,14,2019,1
90605,47,2018,1
90605,51,2019,1
90623,1,2020,1
90623,13,2019,1
90623,48,2015,1
90630,2,2020,1
90631,24,2017,1
90631,41,2018,1
90650,37,2018,3
90650,46,2017,1
90680,17,2016,1
90680,33,2016,1
90703,2,2019,1
90703,11,2018,1
90706,2,2018,1
90706,25,2018,1
90706,52,2015,1
90706,52,2017,1
90710,52,2018,1
90712,14,2016,1
90715,3,2020,1
90746,1,2020,1
90746,42,2015,1
90746,46,2017,1
90804,12,2016,1
